trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.95}",25,0,-108.18224581717266,"{0: 14, 1: 2, 2: 8, 3: 0, 4: 1}",0
2,False,"{'a': 0.5, 'e': 0.8999999999999999}",20,3,-19.294326551001472,"{0: 13, 1: 1, 2: 3, 3: 0, 4: 0}",1
3,False,"{'a': 0.5, 'e': 0.8499999999999999}",30,0,-120.90111577955054,"{0: 19, 1: 2, 2: 7, 3: 1, 4: 1}",0
4,False,"{'a': 0.5, 'e': 0.7999999999999998}",25,2,-55.60096022726396,"{0: 18, 1: 0, 2: 4, 3: 0, 4: 1}",1
5,False,"{'a': 0.5, 'e': 0.7499999999999998}",30,0,-166.3207504616024,"{0: 21, 1: 1, 2: 1, 3: 5, 4: 2}",0
6,False,"{'a': 0.5, 'e': 0.6999999999999997}",25,0,-78.7618197331041,"{0: 18, 1: 2, 2: 3, 3: 1, 4: 1}",0
7,False,"{'a': 0.5, 'e': 0.6499999999999997}",30,0,-73.70389395414546,"{0: 22, 1: 4, 2: 2, 3: 1, 4: 1}",0
8,False,"{'a': 0.5, 'e': 0.5999999999999996}",25,10,-11.897935593758502,"{0: 11, 1: 2, 2: 2, 3: 0, 4: 0}",1
9,False,"{'a': 0.5, 'e': 0.5499999999999996}",20,0,-62.69937718768611,"{0: 16, 1: 0, 2: 2, 3: 1, 4: 1}",0
10,False,"{'a': 0.5, 'e': 0.4999999999999996}",20,0,-68.92977674534905,"{0: 17, 1: 0, 2: 1, 3: 0, 4: 2}",0
11,False,"{'a': 0.5, 'e': 0.4499999999999996}",20,0,-104.03055244131636,"{0: 15, 1: 0, 2: 2, 3: 1, 4: 2}",0
12,False,"{'a': 0.5, 'e': 0.39999999999999963}",20,0,-54.17955673864773,"{0: 16, 1: 1, 2: 1, 3: 1, 4: 1}",0
13,False,"{'a': 0.5, 'e': 0.34999999999999964}",35,0,-17.193458828304866,"{0: 28, 1: 4, 2: 3, 3: 0, 4: 0}",0
14,False,"{'a': 0.5, 'e': 0.29999999999999966}",20,1,23.37056330158493,"{0: 18, 1: 1, 2: 0, 3: 0, 4: 0}",1
15,False,"{'a': 0.5, 'e': 0.24999999999999967}",20,0,-85.68879424889889,"{0: 16, 1: 1, 2: 0, 3: 1, 4: 2}",0
16,False,"{'a': 0.5, 'e': 0.19999999999999968}",20,8,9.886691388796166,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 0}",1
17,False,"{'a': 0.5, 'e': 0.1499999999999997}",20,0,-17.114146839494204,"{0: 17, 1: 0, 2: 2, 3: 1, 4: 0}",0
18,False,"{'a': 0.5, 'e': 0.09999999999999969}",30,10,-16.79418986933505,"{0: 17, 1: 0, 2: 2, 3: 1, 4: 0}",1
19,False,"{'a': 0.5, 'e': 0.049999999999999684}",20,0,16.527486275654955,"{0: 19, 1: 1, 2: 0, 3: 0, 4: 0}",0
20,False,"{'a': 0.5, 'e': -3.191891195797325e-16}",25,0,-38.405878315002106,"{0: 20, 1: 1, 2: 2, 3: 2, 4: 0}",0
1,True,"{'a': 0.0, 'e': 0.0}",25,0,-20.45692469399085,"{0: 21, 1: 0, 2: 3, 3: 1, 4: 0}",0
2,True,"{'a': 0.0, 'e': 0.0}",25,2,-60.24350185176629,"{0: 19, 1: 1, 2: 1, 3: 0, 4: 2}",1
3,True,"{'a': 0.0, 'e': 0.0}",20,6,8.003544455778874,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 0}",1
4,True,"{'a': 0.0, 'e': 0.0}",25,8,-53.28688266779188,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 2}",1
5,True,"{'a': 0.0, 'e': 0.0}",20,12,11.600285293443987,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
6,True,"{'a': 0.0, 'e': 0.0}",25,13,20.893501248807897,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
7,True,"{'a': 0.0, 'e': 0.0}",25,9,15.719432250473355,"{0: 15, 1: 0, 2: 1, 3: 0, 4: 0}",1
8,True,"{'a': 0.0, 'e': 0.0}",30,16,17.987733710860816,"{0: 13, 1: 1, 2: 0, 3: 0, 4: 0}",1
9,True,"{'a': 0.0, 'e': 0.0}",20,12,-25.21298820400622,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 1}",1
10,True,"{'a': 0.0, 'e': 0.0}",30,11,25.7584682056669,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 0}",1
