trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.01, 'e': 0.9999500004166653}",25,0,-94.93515681065479,"{0: 15, 1: 3, 2: 6, 3: 0, 4: 1}",0
2,False,"{'a': 0.01, 'e': 0.9998000066665778}",30,0,-122.2450314166589,"{0: 20, 1: 3, 2: 5, 3: 0, 4: 2}",0
3,False,"{'a': 0.01, 'e': 0.9995500337489875}",25,0,-146.91698824050056,"{0: 14, 1: 2, 2: 6, 3: 1, 4: 2}",0
4,False,"{'a': 0.01, 'e': 0.9992001066609779}",25,0,-101.30554002771815,"{0: 16, 1: 2, 2: 5, 3: 1, 4: 1}",0
5,False,"{'a': 0.01, 'e': 0.9987502603949663}",20,0,-83.09269951831571,"{0: 9, 1: 5, 2: 5, 3: 1, 4: 0}",0
6,False,"{'a': 0.01, 'e': 0.9982005399352042}",25,0,-295.5535640291534,"{0: 13, 1: 1, 2: 4, 3: 1, 4: 6}",0
7,False,"{'a': 0.01, 'e': 0.9975510002532796}",30,0,-131.29662798574242,"{0: 19, 1: 4, 2: 3, 3: 3, 4: 1}",0
8,False,"{'a': 0.01, 'e': 0.9968017063026194}",20,0,-79.49948940870875,"{0: 13, 1: 1, 2: 5, 3: 0, 4: 1}",0
9,False,"{'a': 0.01, 'e': 0.9959527330119943}",20,0,-47.030529459958345,"{0: 13, 1: 3, 2: 3, 3: 1, 4: 0}",0
10,False,"{'a': 0.01, 'e': 0.9950041652780257}",20,0,-116.92767596906378,"{0: 14, 1: 3, 2: 0, 3: 0, 4: 3}",0
11,False,"{'a': 0.01, 'e': 0.9939560979566968}",20,0,-124.30092383165919,"{0: 10, 1: 0, 2: 8, 3: 1, 4: 1}",0
12,False,"{'a': 0.01, 'e': 0.9928086358538663}",30,0,-60.1450741588649,"{0: 23, 1: 1, 2: 5, 3: 0, 4: 1}",0
13,False,"{'a': 0.01, 'e': 0.9915618937147881}",20,0,-157.68250333340407,"{0: 11, 1: 1, 2: 4, 3: 2, 4: 2}",0
14,False,"{'a': 0.01, 'e': 0.9902159962126371}",25,0,-110.04585490522412,"{0: 16, 1: 0, 2: 7, 3: 1, 4: 1}",0
15,False,"{'a': 0.01, 'e': 0.9887710779360422}",30,0,-150.10002355353805,"{0: 19, 1: 3, 2: 5, 3: 1, 4: 2}",0
16,False,"{'a': 0.01, 'e': 0.9872272833756269}",25,0,-98.08814126542947,"{0: 14, 1: 3, 2: 6, 3: 2, 4: 0}",0
17,False,"{'a': 0.01, 'e': 0.9855847669095608}",25,0,-164.3115870484892,"{0: 11, 1: 4, 2: 6, 3: 3, 4: 1}",0
18,False,"{'a': 0.01, 'e': 0.9838436927881214}",30,0,-166.22183149594093,"{0: 19, 1: 2, 2: 4, 3: 3, 4: 2}",0
